Starting Mouse Recording
20220228T1148284269--{X=1283,Y=412}--None--M
20220228T1148284379--{X=1283,Y=412}--None--M
20220228T1148284489--{X=1283,Y=412}--None--M
20220228T1148284598--{X=1283,Y=412}--None--M
20220228T1148284708--{X=1283,Y=412}--None--M
20220228T1148284818--{X=1283,Y=412}--None--M
20220228T1148284928--{X=1282,Y=412}--None--M
20220228T1148285037--{X=1276,Y=412}--None--M
20220228T1148285142--{X=1270,Y=412}--None--M
20220228T1148285251--{X=1262,Y=412}--None--M
20220228T1148285352--{X=1254,Y=413}--None--M
20220228T1148285453--{X=1245,Y=415}--None--M
20220228T1148285563--{X=1236,Y=416}--None--M
20220228T1148285673--{X=1225,Y=418}--None--M
20220228T1148285782--{X=1218,Y=418}--None--M
20220228T1148285892--{X=1213,Y=418}--None--M
20220228T1148286002--{X=1210,Y=418}--None--M
20220228T1148286112--{X=1209,Y=418}--None--M
20220228T1148286218--{X=1209,Y=417}--None--M
20220228T1148286318--{X=1209,Y=417}--None--M
20220228T1148286428--{X=1209,Y=417}--None--M
20220228T1148286537--{X=1209,Y=416}--None--M
20220228T1148286647--{X=1209,Y=416}--None--M
20220228T1148286756--{X=1209,Y=414}--None--M
20220228T1148286867--{X=1210,Y=411}--None--M
20220228T1148286976--{X=1212,Y=407}--None--M
20220228T1148287086--{X=1214,Y=404}--None--M
20220228T1148287195--{X=1218,Y=400}--None--M
20220228T1148287305--{X=1221,Y=398}--None--M
20220228T1148287415--{X=1226,Y=394}--None--M
20220228T1148287525--{X=1229,Y=392}--None--M
20220228T1148287634--{X=1233,Y=391}--None--M
20220228T1148287744--{X=1235,Y=389}--None--M
20220228T1148287854--{X=1238,Y=389}--None--M
20220228T1148287957--{X=1238,Y=389}--None--M
20220228T1148288057--{X=1238,Y=389}--None--M
20220228T1148288167--{X=1238,Y=389}--None--M
20220228T1148288276--{X=1238,Y=390}--None--M
20220228T1148288385--{X=1238,Y=394}--None--M
20220228T1148288496--{X=1238,Y=401}--None--M
20220228T1148288605--{X=1236,Y=410}--None--M
20220228T1148288715--{X=1230,Y=422}--None--M
20220228T1148288825--{X=1222,Y=434}--None--M
20220228T1148288934--{X=1209,Y=446}--None--M
20220228T1148289044--{X=1195,Y=456}--None--M
20220228T1148289154--{X=1179,Y=466}--None--M
20220228T1148289263--{X=1165,Y=476}--None--M
20220228T1148289372--{X=1153,Y=485}--None--M
20220228T1148289482--{X=1146,Y=492}--None--M
20220228T1148289591--{X=1138,Y=498}--None--M
20220228T1148289701--{X=1135,Y=501}--None--M
20220228T1148289801--{X=1132,Y=502}--None--M
20220228T1148289912--{X=1131,Y=503}--None--M
20220228T1148290011--{X=1131,Y=503}--None--M
20220228T1148290121--{X=1131,Y=503}--None--M
20220228T1148290230--{X=1131,Y=503}--None--M
20220228T1148290332--{X=1131,Y=503}--None--M
20220228T1148290440--{X=1131,Y=503}--None--M
20220228T1148290549--{X=1131,Y=503}--None--M
20220228T1148290659--{X=1131,Y=503}--None--M
20220228T1148290769--{X=1131,Y=504}--None--M
20220228T1148290869--{X=1130,Y=504}--None--M
20220228T1148290979--{X=1129,Y=505}--None--M
20220228T1148291088--{X=1127,Y=506}--None--M
20220228T1148291198--{X=1125,Y=509}--None--M
20220228T1148291307--{X=1124,Y=510}--None--M
20220228T1148291417--{X=1121,Y=513}--None--M
20220228T1148291526--{X=1119,Y=515}--None--M
20220228T1148291636--{X=1117,Y=517}--None--M
20220228T1148291746--{X=1116,Y=519}--None--M
20220228T1148291856--{X=1115,Y=521}--None--M
20220228T1148291965--{X=1115,Y=522}--None--M
20220228T1148292075--{X=1114,Y=523}--None--M
20220228T1148292181--{X=1114,Y=524}--None--M
20220228T1148292290--{X=1114,Y=525}--None--M
20220228T1148292402--{X=1113,Y=525}--None--M
20220228T1148292502--{X=1113,Y=525}--None--M
20220228T1148292611--{X=1113,Y=525}--None--M
20220228T1148292722--{X=1112,Y=526}--None--M
20220228T1148292831--{X=1112,Y=528}--None--M
20220228T1148292941--{X=1112,Y=529}--None--M
20220228T1148293050--{X=1111,Y=530}--None--M
20220228T1148293160--{X=1110,Y=530}--None--M
20220228T1148293260--{X=1109,Y=531}--None--M
20220228T1148293370--{X=1108,Y=531}--None--M
20220228T1148293479--{X=1108,Y=531}--None--M
20220228T1148293579--{X=1108,Y=531}--None--M
20220228T1148293689--{X=1108,Y=531}--None--M
20220228T1148293798--{X=1108,Y=531}--None--M
20220228T1148293908--{X=1108,Y=531}--None--M
20220228T1148294008--{X=1108,Y=531}--None--M
20220228T1148294118--{X=1108,Y=531}--None--M
20220228T1148294218--{X=1108,Y=531}--None--M
20220228T1148294330--{X=1108,Y=531}--None--M
20220228T1148294433--{X=1108,Y=531}--None--M
20220228T1148294535--{X=1108,Y=531}--None--M
20220228T1148294635--{X=1107,Y=531}--None--M
20220228T1148294745--{X=1107,Y=530}--None--M
20220228T1148294854--{X=1106,Y=529}--None--M
20220228T1148294956--{X=1104,Y=528}--None--M
20220228T1148295066--{X=1103,Y=527}--None--M
20220228T1148295170--{X=1102,Y=525}--None--M
20220228T1148295279--{X=1100,Y=523}--None--M
20220228T1148295389--{X=1099,Y=522}--None--M
20220228T1148295496--{X=1098,Y=521}--None--M
20220228T1148295596--{X=1097,Y=520}--None--M
20220228T1148295706--{X=1096,Y=520}--None--M
20220228T1148295815--{X=1096,Y=519}--None--M
20220228T1148295925--{X=1095,Y=518}--None--M
20220228T1148296026--{X=1094,Y=517}--None--M
20220228T1148296135--{X=1093,Y=516}--None--M
20220228T1148296244--{X=1093,Y=516}--None--M
20220228T1148296353--{X=1093,Y=516}--None--M
20220228T1148296463--{X=1092,Y=516}--None--M
20220228T1148296572--{X=1091,Y=516}--None--M
20220228T1148296682--{X=1090,Y=517}--None--M
20220228T1148296791--{X=1090,Y=518}--None--M
20220228T1148296901--{X=1089,Y=521}--None--M
20220228T1148297011--{X=1089,Y=527}--None--M
20220228T1148297121--{X=1090,Y=537}--None--M
20220228T1148297230--{X=1092,Y=547}--None--M
20220228T1148297340--{X=1094,Y=559}--None--M
20220228T1148297449--{X=1096,Y=566}--None--M
20220228T1148297559--{X=1098,Y=573}--None--M
20220228T1148297669--{X=1099,Y=577}--None--M
20220228T1148297778--{X=1102,Y=581}--None--M
20220228T1148297888--{X=1103,Y=585}--None--M
20220228T1148297998--{X=1105,Y=589}--None--M
20220228T1148298108--{X=1106,Y=592}--None--M
20220228T1148298218--{X=1107,Y=594}--None--M
20220228T1148298327--{X=1107,Y=596}--None--M
20220228T1148298437--{X=1107,Y=596}--None--M
20220228T1148298546--{X=1108,Y=598}--None--M
20220228T1148298656--{X=1109,Y=599}--None--M
20220228T1148298766--{X=1109,Y=600}--None--M
20220228T1148298868--{X=1109,Y=601}--None--M
20220228T1148298978--{X=1109,Y=601}--None--M
20220228T1148299088--{X=1109,Y=601}--None--M
20220228T1148299197--{X=1109,Y=601}--None--M
20220228T1148299307--{X=1109,Y=601}--None--M
20220228T1148299416--{X=1110,Y=601}--None--M
20220228T1148299527--{X=1110,Y=601}--None--M
20220228T1148299626--{X=1110,Y=601}--None--M
20220228T1148299736--{X=1110,Y=601}--None--M
20220228T1148299845--{X=1110,Y=601}--None--M
20220228T1148299955--{X=1110,Y=601}--None--M
20220228T1148300065--{X=1110,Y=601}--None--M
20220228T1148300175--{X=1110,Y=601}--Left--M
20220228T1148300294--{X=1110,Y=601}--Left--M
20220228T1148300404--{X=1110,Y=601}--Left--M
20220228T1148300506--{X=1110,Y=601}--Left--M
20220228T1148300615--{X=1110,Y=601}--Left--M
20220228T1148300716--{X=1110,Y=601}--Left--M
20220228T1148300825--{X=1110,Y=601}--Left--M
20220228T1148300935--{X=1110,Y=601}--Left--M
20220228T1148301044--{X=1110,Y=601}--None--M
20220228T1148301144--{X=1110,Y=601}--None--M
20220228T1148301255--{X=1110,Y=601}--None--M
